group,group_sub,sub_basin,source_schema_table,source_column_name,column_name_raw,column_name,notes,rank,type,user_input,project_specific,fwapg,weight_low,weight_mid,weight_high,weight_factor,weight_low_notes,weight_mid_notes,weight_high_notes,comments,link1,downstream_route_measure,package_name,url_browser,description,id_package,id_dataset,url_download,col_type_local,col_comments
NA,NA,NA,NA,NA,contact_prescription,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_ecological,ncfdc_1998,NA,NA,NA,current_state,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_ecological,ncfdc_1998,NA,NA,NA,fish_value,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
location,NA,NA,NA,NA,historic_project_location,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Areas of past investment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_causal_factor_01,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_causal_factor_02,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_causal_factor_03,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_name_01,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_name_02,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,issue_name_03,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,land_cover_existing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,land_cover_potential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,lat,NA,polygon centroid latitude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,location_access_lat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,location_access_long,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,lon,NA,polygon centroid latitude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
location,ncfdc_1998,NA,NA,NA,position,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,riparian_buffer_width,NA,NA,TRUE,NA,NA,NA,NA,0,5,10,NA,<30m,30m,50m,Width of riparian area available for recovery efforts can be directly related to functional potential to provide ecosystem services.,https://github.com/NewGraphEnvironment/restoration_framework/issues/2,NA,NA,NA,NA,NA,NA,NA,NA,NA
id,NA,NA,NA,NA,site_name,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id,NA,NA,NA,NA,stream_local_name,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
location,ncfdc_1998,TRUE,NA,NA,sub_basin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_ecological,ncfdc_1998,NA,NA,NA,synergistic_value,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_accessibility,NA,NA,TRUE,NA,TRUE,NA,NA,0,5,10,NA,site cannot be accessed by Wet'suwet'en community members,site can be accessed by Wet'suwet'en community members with permission from landowner,Site can be accessed by Wet'suwet'en community members at will,Freedom of access can lead to better outcomes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,TRUE,NA,NA,wet_chiefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,TRUE,NA,NA,wet_clan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_cultural_site,NA,NA,TRUE,NA,TRUE,NA,NA,0,3,5,NA,site not identified through traditional knowledge as having cultural significance for identified value,site identified through traditional knowledge as having potential cultural significance for identified value,site identified through traditional knowledge as having cultural significance for identified value,Areas of cultural significance provide value to initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_fishing_site,NA,NA,TRUE,NA,TRUE,NA,NA,0,3,5,NA,site not identified through traditional knowledge as having cultural significance for identified value,site identified through traditional knowledge as having potential cultural significance for identified value,site identified through traditional knowledge as having cultural significance for identified value,Areas of cultural significance provide value to initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_forage_site,NA,NA,TRUE,NA,TRUE,NA,NA,0,3,5,NA,site not identified through traditional knowledge as having cultural significance for identified value,site identified through traditional knowledge as having potential cultural significance for identified value,site identified through traditional knowledge as having cultural significance for identified value,Areas of cultural significance provide value to initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,TRUE,NA,NA,wet_house_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Name of house group on which territory the site is located.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_hunting_site,NA,NA,TRUE,NA,TRUE,NA,NA,0,3,5,NA,site not identified through traditional knowledge as having cultural significance for identified value,site identified through traditional knowledge as having potential cultural significance for identified value,site identified through traditional knowledge as having cultural significance for identified value,Areas of cultural significance provide value to initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
values_traditional,NA,NA,NA,NA,wet_medicinal_site,NA,NA,TRUE,NA,TRUE,NA,NA,0,3,5,NA,site not identified through traditional knowledge as having cultural significance for identified value,site identified through traditional knowledge as having potential cultural significance for identified value,site identified through traditional knowledge as having cultural significance for identified value,Areas of cultural significance provide value to initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,TRUE,NA,NA,wet_name_site,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,TRUE,NA,NA,wet_name_territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,NA,NA,NA,wet_stream_name,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,NA,NA,NA,wet_traditional_fishing_site_name,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wetsuweten,NA,NA,NA,NA,wet_traditonal_fishing_site_distance,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
