content,url,description
whse_forest_vegetation.veg_burn_severity_sp,https://catalogue.data.gov.bc.ca/dataset/c58a54e5-76b7-4921-94a7-b5998484e697,"This layer is the one-year-later burn severity classification for large fires (greater than 100 ha). Burn severity mapping is conducted using best available pre- and post-fire satellite multispectral imagery acquired by the MultiSpectral Instrument (MSI) aboard the Sentinel-2 satellite or the Operational Land Imager (OLI) sensor aboard the Landsat-8 and 9 satellites. The post-fire imagery is acquired during the subsequent growing season. Mapping conducted during the subsequent growing season benefits from greater post-fire image availability and is expected to be more representative of tree mortality. Every attempt is made to use cloud, smoke, shadow and snow-free imagery that was acquired prior to September 30th. 

Please note, this layer is 1-year-later burn severity dataset. The same-year burn severity mapping dataset (WHSE_FOREST_VEGETATION.VEG_BURN_SEVERITY_SAME_YR_SP) is considered an interim product to this layer. 

#### Methodology:

•	 Select suitable pre- and post-fire imagery or create a cloud/snow/smoke-free composite from multiple images scenes

•	 Calculate normalized burn severity ratio (NBR) for pre- and post-fire images

•	 Calculate difference NBR (dNBR) where dNBR = pre NBR – post NBR

•	 Apply a scaling equation (dNBR_scaled = dNBR*1000 + 275)/5)

•	 Apply BARC thresholds (76, 110, 187) to create a 4-class image (unburned, low severity, medium severity, and high severity)

•	 Apply region-based filters to reduce noise

•	 Confirm burn severity analysis results through visual quality control

•	 Produce a vector dataset and apply Euclidian distance smoothing"
whse_forest_vegetation.veg_comp_lyr_r1_poly,https://catalogue.data.gov.bc.ca/dataset/2ebb35d8-c82f-4a17-9c96-612ac3532d55,"Geospatial forest inventory dataset updated for depletions, such as harvesting, and projected annually for growth. Sample attributes in this dataset include: age, species, volume, height.

The Vegetation Resources Inventory (VRI) spatial datasets describe both where a vegetation resource (ie timber volume, tree species) is located and how much of a given resource is within an inventory unit.

Suggested citation:
Forest Analysis and Inventory Branch (2024). VRI - 2023 - Forest Vegetation Composite Rank 1 Layer (R1). British Columbia Data Catalogue.
https://catalogue.data.gov.bc.ca/dataset/2ebb35d8-c82f-4a17-9c96-612ac3532d55
"
whse_imagery_and_base_maps.aimg_orthophoto_tiles_poly,https://catalogue.data.gov.bc.ca/dataset/60d873d3-2e91-4c56-8e30-e5cb2872d1f8,"__A set of polygons representing the geographic coverage of all individual orthophotos from the provincial collection that are available for sale to the public.__

"
whse_imagery_and_base_maps.mot_culverts_sp,https://catalogue.data.gov.bc.ca/dataset/89d44ba6-7236-48ed-afab-f25a98c846ef,A Culvert is a pipe (less than 3m in diameter) or half-round flume used to transport or drain water under or away from the road and/or right of way.  Culverts that are greater than or equal to 3m in diameter are stored in the MoT Bridge Structure Road Dataset. It is a Point feature
whse_imagery_and_base_maps.mot_road_structure_sp,https://catalogue.data.gov.bc.ca/dataset/86732641-963e-4329-8aeb-5bbfe35d2dde,"The Road Structures on the highway that are maintained by the Ministry.  Highway structures include bridges, culverts (greater than or equal to 3m diameter), retaining walls (perpendicular height greater than or equal to 2m), sign bridges, tunnels/snowsheds.  Information is recorded in the Bridge Management Information System (BMIS)"
whse_land_and_natural_resource.prot_historical_fire_polys_sp,https://catalogue.data.gov.bc.ca/dataset/22c7cb44-1463-48f7-8e47-88857f207702,Wildfire perimeters for all fire seasons before the current year.  Supplied through various sources.  Not to be used for legal purposes.  These perimeters may be updated periodically during the year.  On April 1 of each year the previous year's fire perimeters are merged into this dataset
whse_land_use_planning.rmp_ogma_non_legal_current_svw,https://catalogue.data.gov.bc.ca/dataset/f063bff2-d8dd-4cc3-b3a4-00165aba58e1,"This 'Current' spatial data layer is publicly accessible, contains the most current Non-Legal Old Growth Management Area (OGMA) polygons and excludes any sensitive information. 

This data represents spatially defined areas of old growth forest that are identified during landscape unit planning or an operational planning process.  Forest licensees are not required to follow direction provided by non-legal OGMAs when preparing FSPs, and may choose to manage required old growth biodiversity targets in other ways.  OGMAs, in combination with other areas where forestry development is prevented or constrained, are used to achieve biodiversity targets. 

Please see the Additional Information and Object Description Comments below."
whse_legal_admin_boundaries.abms_municipalities_sp,https://catalogue.data.gov.bc.ca/dataset/e3c3c580-996a-4668-8bc5-6aa7c7dc4932,"Legally defined __Municipal__ polygons were drawn from metes and bounds descriptions as written in Letters Patent for Municipalities in the province of British Columbia. In the event of a discrepancy in the data, the metes and bounds description will prevail.

Although the boundaries were drawn based on the legal metes and bounds descriptions, they may differ from how regional districts and their member municipalities and electoral areas currently view and/or manage their boundaries. Where discrepancies are noted, the Ministry of Municipal Affairs (the custodian) enters into discussion with the local governments whose boundaries are affected. In order to effect a change to the boundary, Cabinet approval is required.  This is done through an Order in Council (OIC). While discrepancies to administrative boundaries are being resolved, boundaries may be adjusted on an ongoing basis until the requested changes are completed.
 
The OIC_YEAR and OIC_NUMBER fields indicate the year that the boundary was passed under OIC and its associated number. The AFFECTED_ADMIN_AREA_ABRVN identifies the administrative areas that are affected by the OIC.

See all of the administrative areas currently in the [__Administrative Boundaries Management System (ABMS)__](https://catalogue.data.gov.bc.ca/dataset/12f0fd64-94d5-422a-832e-6627a2a01702).

The complimentary [point dataset](https://catalogue.data.gov.bc.ca/dataset/e50b6560-0549-41a6-8035-6b828066692e) that defines the administrative areas is also available.

Other individual legally defined administrative area datasets are available from the following records:

[Regional Districts](https://catalogue.data.gov.bc.ca/dataset/d1aff64e-dbfe-45a6-af97-582b7f6418b9)
[Electoral Areas](https://catalogue.data.gov.bc.ca/dataset/81940c47-a534-47e0-94d0-947c96a59de4) 

[Province of British Columbia](https://catalogue.data.gov.bc.ca/dataset/a7e32e45-63ae-4f5a-9275-9402b6deebdc)

[Islands Trust](https://catalogue.data.gov.bc.ca/dataset/df3f5a9f-2dc0-4b9e-b593-fc205933e32d)

[Local Trust Areas](https://catalogue.data.gov.bc.ca/dataset/cea5f554-f2f7-4cfd-a8f0-63e7c83dc191)"
whse_mineral_tenure.og_pipeline_area_appl_sp,https://catalogue.data.gov.bc.ca/dataset/b02092f9-b053-438b-9e86-157477d78faa,Applications for land authorizations representing the right of way for pipeline activities.  This dataset contains polygon features for proposed applications collected through the BC Energy Regulator's Application Management System (AMS). This dataset is updated nightly.
whse_mineral_tenure.og_pipeline_area_permit_sp,https://catalogue.data.gov.bc.ca/dataset/e1500359-d6a6-4a80-abe6-5130361cbac5,"Land authorizations representing the right of way for pipeline activities. The spatial data includes polygon data for approved and post-construction pipeline rights of way collected on or after October 30, 2006. This dataset is updated nightly."
